team1,score1,score2,team2
Albania,0,1,Switzerland
France,2,1,Romania
England,1,1,Russia
Wales,2,1,Slovakia
Poland,1,0,NorthernIreland
Turkey,0,1,Croatia
Spain,1,0,Czech
Germany,2,0,Ukraine
Belgium,0,2,Italy
Ireland,1,1,Sweden
Portugal,1,1,Iceland
Austria,0,2,Hungary
Romania,1,1,Switzerland
Russia,1,2,Slovakia
England,2,1,Wales
France,2,0,Albania
Germany,0,0,Poland
Ukraine,0,2,NorthernIreland
Czech,2,2,Croatia
Italy,1,0,Sweden
Belgium,3,0,Ireland
Spain,3,0,Turkey
Portugal,0,0,Austria
Iceland,1,1,Hungary
Switzerland,0,0,France
Romania,0,1,Albania
Slovakia,0,0,England
Russia,0,3,Wales
NorthernIreland,0,1,Germany
Ukraine,0,1,Poland
Croatia,2,1,Spain
Czech,0,2,Turkey
Hungary,3,3,Portugal
Sweden,0,1,Belgium
Italy,0,1,Ireland
