team1,score1,team2,score2
Kazakhstan,3,Scotland,0
Cyprus,5,San Marino,0
Northern Ireland,2,Estonia,0
Netherlands,4,Belarus,0
Slovakia,2,Hungary,0
Croatia,2,Azerbaijan,1
Israel,1,Slovenia,1
North Macedonia,3,Latvia,1
Austria,0,Poland,1
Belgium,3,Russia,1
Bulgaria,1,Montenegro,1
England,5,Czech,0
Portugal,0,Ukraine,0
Luxembourg,2,Lithuania,1
Moldova,1,France,4
Andorra,0,Iceland,2
Albania,0,Turkey,2
Georgia,0,Switzerland,2
Gibraltar,0,Ireland,1
Sweden,2,Romania,1
Malta,2,Faroe,1
Spain,2,Norway,1
Liechtenstein,0,Greece,2
Italy,2,Finland,0
Bosnia,2,Armenia,1
Wales,1,Slovakia,0
Kazakhstan,0,Russia,4
Hungary,2,Croatia,1
Israel,4,Austria,2
San Marino,0,Scotland,2
Northern Ireland,2,Belarus,1
Netherlands,2,Germany,3
Slovenia,1,North Macedonia,1
Poland,2,Latvia,0
Cyprus,0,Belgium,2
Turkey,4,Moldova,0
Montenegro,1,England,5
Kosovo,1,Bulgaria,1
Portugal,1,Serbia,1
Luxembourg,1,Ukraine,2
France,4,Iceland,0
Andorra,0,Albania,3
Armenia,0,Finland,2
Switzerland,3,Denmark,3
Ireland,1,Georgia,0
Romania,4,Faroe,1
Norway,3,Sweden,3
Malta,0,Spain,2
Italy,6,Liechtenstein,0
Bosnia,2,Greece,2
Georgia,3,Gibraltar,0
Montenegro,1,Kosovo,1
Czech,2,Bulgaria,1
Ukraine,5,Serbia,0
Lithuania,1,Luxembourg,1
Denmark,1,Ireland,1
Sweden,3,Malta,0
Norway,2,Romania,2
Faroe,1,Spain,4
Latvia,0,Israel,3
North Macedonia,0,Poland,1
Austria,1,Slovenia,0
Croatia,2,Wales,1
Iceland,1,Albania,0
Estonia,1,Northern Ireland,2
Azerbaijan,1,Hungary,3
Moldova,1,Andorra,0
Russia,9,San Marino,0
Finland,2,Bosnia,0
Armenia,3,Liechtenstein,0
Belarus,0,Germany,2
Turkey,2,France,0
Scotland,2,Cyprus,1
Belgium,3,Kazakhstan,0
Greece,0,Italy,3
Czech,3,Montenegro,0
Bulgaria,2,Kosovo,3
Ukraine,1,Luxembourg,0
Serbia,4,Lithuania,1
Ireland,2,Gibraltar,0
Denmark,5,Georgia,1
Spain,3,Sweden,0
Malta,0,Romania,3
Faroe,0,Norway,2
Poland,4,Israel,0
Latvia,0,Slovenia,5
North Macedonia,1,Austria,4
Kazakhstan,4,San Marino,0
Azerbaijan,1,Slovakia,5
Germany,8,Estonia,0
Belarus,0,Northern Ireland,1
Hungary,1,Wales,0
Iceland,2,Turkey,1
Andorra,0,France,4
