ranking,team,pts,elo_march_2019
1,Belgium,1783.38,2041
2,France,1757.3,2094
4,England,1686.78,1960
5,Portugal,1666.78,1959
6,Spain,1648.13,2012
7,Italy,1642.06,1889
10,Denmark,1631.55,1891
12,Germany,1609.12,1932
13,Switzerland,1606.21,1922
14,Croatia,1605.75,1926
16,Netherlands,1598.04,1988
17,Wales,1570.36,1762
18,Sweden,1549.87,1831
21,Poland,1549.87,1778
23,Austria,1523.42,1739
24,Ukraine,1514.64,1773
25,Serbia,1512.9,1814
29,Turkey,1505.05,1691
36,Slovakia,1475.24,1760
37,Hungary,1468.75,1598
38,Russia,1462.65,1747
40,Czech,1458.81,1729
42,Norway,1452.34,1678
43,Romania,1449.23,1753
44,Scotland,1441.43,1664
47,Ireland,1427.22,1704
48,Northern Ireland,1425.74,1634
51,Greece,1418.7,1613
52,Iceland,1415.99,1667
54,Finland,1410.82,1622
55,Bosnia,1404.87,1795
62,North Macedonia,1374.73,1527
63,Slovenia,1369.88,1566
64,Montenegro,1368.49,1589
66,Albania,1362.09,1515
71,Bulgaria,1339.03,1629
85,Israel,1283.36,1555
89,Belarus,1276.79,1535
90,Armenia,1273.28,1448
91,Georgia,1259.51,1546
96,Luxembourg,1244.86,1347
97,Cyprus,1240.78,1416
110,Azerbaijan,1165.45,1402
113,Faroe,1165.45,1255
116,Estonia,1161.58,1476
120,Kosovo,1151.73,1502
124,Kazakhstan,1147.35,1398
134,Lithuania,1102.84,1338
138,Latvia,1081.66,1290
158,Andorra,1034.9,1081
175,Malta,955.89,1178
177,Moldova,948.16,1314
186,Liechtenstein,911.05,1138
195,Gibraltar,880.16,1103
210,San Marino,804.71,833
