team1,score1,team2,score2
Ukraine,2,Switzerland,1
Germany,1,Spain,1
Turkey,0,Hungary,1
Russia,3,Serbia,1
Bulgaria,1,Ireland,1
Finland,0,Wales,1
Moldova,1,Kosovo,1
Slovenia,0,Greece,0
Latvia,0,Andorra,0
Faroe,3,Malta,2
Italy,1,Bosnia,1
Netherlands,1,Poland,0
Romania,1,Northern Ireland,1
Norway,1,Austria,2
Scotland,1,Israel,1
Slovakia,1,Czech,3
Lithuania,0,Kazakhstan,2
Belarus,0,Albania,2
Iceland,0,England,1
Denmark,0,Belgium,2
Sweden,0,France,1
Portugal,4,Croatia,1
North Macedonia,2,Armenia,1
Azerbaijan,1,Luxembourg,2
Cyprus,0,Montenegro,2
Estonia,0,Georgia,1
Gibraltar,1,San Marino,0
Spain,4,Ukraine,0
Switzerland,1,Germany,1
Wales,1,Bulgaria,0
Hungary,2,Russia,3
Ireland,0,Finland,1
Serbia,0,Turkey,0
Slovenia,1,Moldova,0
Kosovo,1,Greece,2
Andorra,0,Faroe,1
Malta,1,Latvia,1
Bosnia,1,Poland,2
Netherlands,0,Italy,1
Northern Ireland,1,Norway ,5
Austria,2,Romania,3
Israel,1,Slovakia,1
Czech,1,Scotland,2
Kazakhstan,1,Belarus,2
Albania,0,Lithuania,1
Denmark,0,England,0
Belgium,5,Iceland,1
Sweden,0,Portugal,2
France,4,Croatia,2
Armenia,2,Estonia,0
Georgia,1,North Macedonia,1
Luxembourg,0,Montenegro,1
Cyprus,0,Azerbaijan,1
San Marino,0,Liechtenstein,2
Ukraine,1,Germany,2
Spain,1,Switzerland,0
Luxembourg,2,Cyprus,0
Faroe ,1,Latvia,1
Liechtenstein,0,Gibraltar,1
Andorra,0,Malta,0
Bosnia,0,Netherlands,0
England,2,Belgium,1
Croatia,2,Sweden,1
Poland,0,Italy,0
Iceland,0,Denmark,3
France,0,Portugal,0
Ireland,0,Wales,0
Norway,4,Romania,0
Finland,2,Bulgaria,0
Israel,1,Czech,1
Scotland,1,Slovakia,0
Serbia,0,Hungary,1
Russia,1,Turkey,1
Kazakhstan,0,Albania,0
Estonia,3,North Macedonia,3
Armenia,2,Georgia,2
Lithuania,2,Belarus,2
Kosovo,0,Slovenia,1
Greece,2,Moldova,0
Ukraine,1,Spain,0
Germany,3,Switzerland,3
Azerbaijan,0,Cyprus,0
Montenegro,1,Luxembourg,2
Latvia,0,Malta,1
Faroe,2,Andorra,0
Liechtenstein,0,San Marino,0
Poland,3,Bosnia,0
Italy,1,Netherlands,1
England,0,Denmark,1
Iceland,1,Belgium,2
Croatia,1,France,2
Portugal,3,Sweden,0
Finland,1,Ireland,0
Norway,1,Northern Ireland,0
Romania,0,Austria,1
Scotland,1,Czech,0
Slovakia,2,Israel,3
Turkey,2,Serbia,2
Russia,0,Hungary,0
Bulgaria,0,Wales,1
Lithuania,0,Albania,0
North Macedonia,1,Georgia,1
Estonia,1,Armenia,1
Moldova,0,Slovenia,4
Greece,0,Kosovo,0
Belarus,2,Kazakhstan,0
Sweden,2,Croatia,1
Portugal,0,France,1
Switzerland,1,Spain,1
Germany,3,Ukraine,1
Cyprus,2,Luxembourg,1
Azerbaijan,0,Montenegro,0
Malta,3,Andorra,1
San Marino,0,Gibraltar,0
Latvia,1,Faroe,1
Netherlands,3,Bosnia,1
Italy,2,Poland,0
Denmark,2,Iceland,1
Belgium,2,England,0
Slovakia,1,Scotland,0
Turkey,3,Russia,2
Bulgaria,1,Finland,2
Wales,1,Ireland,0
Austria,2,Northern Ireland,1
Czech,1,Israel,0
Hungary,1,Serbia,1
North Macedonia,2,Estonia,1
Georgia,1,Armenia,2
Albania,3,Kazakhstan,1
Belarus,2,Lithuania,0
Moldova,0,Greece,2
Slovenia,2,Kosovo,1
Croatia,2,Portugal,3
France,4,Sweden,2
Spain,6,Germany,0
Luxembourg,0,Azerbaijan,9
Montenegro,4,Cyprus,0
Malta,1,Faroe,1
Andorra,0,Latvia,5
Gibraltar,1,Liechtenstein,1
Bosnia,0,Italy,2
Poland,1,Netherlands,2
England,4,Iceland,0
Belgium,4,Denmark,2
Northern Ireland,1,Romania,1
Austria,1,Norway ,1
Israel,1,Scotland,0
Czech,2,Slovakia,0
Serbia,5,Russia,0
Hungary,2,Turkey,0
Ireland,0,Bulgaria,0
Wales,3,Finland,1
Kazakhstan,1,Lithuania,2
Albania,3,Belarus,2
Armenia,1,North Macedonia,0
Georgia,0,Estonia,0
Kosovo,1,Moldova,0
Greece,0,Slovenia,0
